Artist;Titel;Anm;LP-nr;Pris
Boomtown Rats;Mondobongo;VG/VG;LP 0278;90
Dillinger;Cocaine (maxi single);VG/VG-NM, White vinyl;LP 0279;290
James Brown;I’m real ;VG/VG, White vinyl;LP 0280;150
Blue Cheer;Outside Inside;VG/VG-NM, Red vinyl;LP 0282;450
Alan Parsons project;Eve;VG/VG;LP 0285;90
Alan Parsons project;Pyramid;G-VG/VG;LP 0286;90
Bette Midler;Thighs and Whispers;VG/VG;LP 0288;90
Bruce Springsteen;Tunnel of Love;VG-NM/NM;LP 0291;180
Bruce Springsteen & the E.;LIVE/1975-85 ;NM/NM;LP 0292;590
Crowded House;Temple of Low Men;VG-NM/NM;LP 0294;150
Flying Pickets;Lost Boy;G/VG;LP 0298;50
Hurriganes;Use no Hooks;VG/VG-NM;LP 0300;450
Johnny Cash;This is Johnny Cash;G-VG/G-VG;LP 0303;180
Julie Felix;Hota Chocolata;G/G;LP 0304;90
Madonna;True Blue;NM/NM-Mint;LP 0308;250
Pet Shop Boys;Please;NM/NM-mint;LP 0310;150
Rod Stewart ;Foolish Behaviour;VG/VG;LP 0311;50
Sanne Salomonsen;Sanne Salomonsen;NM/NM;LP 0312;90
Shakin’ Stevens;Shaky;VG/VG;LP 0314;50
Stevie Nicks;The Wild Heart;VG/G;LP 0317;90
Moody Blues;The present;VG/VG;LP 0318;90
Tina Turner;Foreign affair;NM/NM;LP 0320;90
Tony Carey;Some Though City;VG-NM/VG-NM;LP 0321;50
Simon and Garfunkel;The concert in central park;G-VG/VG;LP 0324;290
Brian Spence;Reputation;VG-NM/NM;LP 0325;50
U2;Rattle and Hum;VG/VG-NM;LP 0329;180
Diana Ross;Diana;VG/G-VG;LP 0330;90
Billy Ocean;Love Zone;VG/G/VG;LP 0331;90
Santana;Shango;VG-NM/VG;LP 0333;90
Bob Marley & the Wailers;Confrontation;VG-NM/VG-NM;LP 0334;250
Frank Chickens ;Get Chickenized;VG/NM (promo record);LP 0336;490
Heart ;Heart;VG/NM;LP 0337;90
Terry Jacks ;And the poppy family;VG/VG ;LP 0338;90
Iron City Houserockers;Love´s to tough;VG/G;LP 0339;50
Greg Kihn Band;With the naked eye;VG/VG-NM;LP 0340;50
Three dog night;Suitable for Framing;G-VG/VG;LP 0341;50
Esther Phillips;For all we know;VG-NM/VG-NM;LP 0343;90
Howard Jones;Human´s lib;VG/VG-NM;LP 0345;90
Chris Rea;New light through old windows;VG/VG-NM;LP 0347;180
Culture Club;Kissing to be clever;VG/G;LP 0349;50
Alan Parsons project;The turn of a friendly card;G-VG/VG;LP 0350;90
Alan Parsons project;Stereotomy;VG-NM/VG-NM;LP 0352;180
Chris Rea;Water sign;VG-NM/NM;LP 0354;180
Black Sorrows;Hold onto me;VG-NM/VG;LP 0360;90
Barclay James Harvest;Victimes ocg circumstance;G-VG/VG;LP 0363;50
Fine Young Cannibals;The raw & the cooked;VG/G-VG;LP 0364;90
Boston;The third stage;VG-VG;LP 0365;120
